,ID,trial,chooseDes,whichWorld,chooseTV,desWorld,whatIsDes,seqLength,desCount,desProp,RT.lev,RT.raw,RT.log,aniFlagCount,outcomeDesSeq,correct,desPropC,evidForChoice,undesCount,desDiff,diffForChoice,itemsForChoiceCount,chooseDes.m,desWorldC,chooseDesC,chooseDesF,desWorldF,RTq5,timingFlag,timingRelative
189,90,X2,0,1,1,0,ph,14,4,0.285714286,854,7249,8.888618807,0,11001000100,1,-0.214285714,0.714285714,10,-6,6,10,1,-1,-1,chose undesirable,undesirable fac.,"(4.98e+03,8.01e+03]",FALSE,99
190,91,X2,0,0,0,0,tv,12,2,0.166666667,1550,6384,8.761550139,0,1.00E+11,1,-0.333333333,0.833333333,10,-8,8,10,1,-1,-1,chose undesirable,undesirable fac.,"(4.98e+03,8.01e+03]",FALSE,334
191,92,X2,0,0,0,0,tv,19,6,0.315789474,3832,10000,9.210340372,0,1.00E+14,1,-0.184210526,0.684210526,13,-7,7,13,1,-1,-1,chose undesirable,undesirable fac.,"(8.01e+03,8.89e+04]",FALSE,100
192,93,X2,0,1,1,0,ph,16,6,0.375,685,8338,9.028578658,0,10111100001,1,-0.125,0.625,10,-4,4,10,1,-1,-1,chose undesirable,undesirable fac.,"(8.01e+03,8.89e+04]",FALSE,88
193,94,X2,0,0,0,0,tv,14,6,0.428571429,1303,7161,8.876404915,0,1.10E+12,1,-0.071428571,0.571428571,8,-2,2,8,1,-1,-1,chose undesirable,undesirable fac.,"(4.98e+03,8.01e+03]",FALSE,11
194,95,X2,1,1,1,1,tv,11,6,0.545454545,43295,5855,8.675051276,0,11010011001,1,0.045454545,0.545454545,5,1,1,6,1,1,1,chose desirable,desirable fac.,"(4.98e+03,8.01e+03]",FALSE,355
195,96,X2,1,0,0,1,ph,20,12,0.6,1719,10624,9.270870872,0,1.01E+18,1,0.1,0.6,8,4,4,12,1,1,1,chose desirable,desirable fac.,"(8.01e+03,8.89e+04]",FALSE,174
196,97,X2,0,0,0,0,tv,7,3,0.428571429,2401,3442,8.143807977,3,1101,1,-0.071428571,0.571428571,4,-1,1,4,1,-1,-1,chose undesirable,undesirable fac.,"(3.34e+03,4.98e+03]",FALSE,142
197,98,X2,0,0,1,1,ph,5,2,0.4,105,2548,7.843064017,0,1001,0,-0.1,0.6,3,-1,1,3,0,1,-1,chose undesirable,desirable fac.,"(2.1e+03,3.34e+03]",FALSE,348
198,99,X2,1,1,1,1,tv,11,7,0.636363636,1021,5808,8.666991557,0,10011110110,1,0.136363636,0.636363636,4,3,3,7,1,1,1,chose desirable,desirable fac.,"(4.98e+03,8.01e+03]",FALSE,308
199,1,X3,0,1,1,0,ph,6,2,0.333333333,562,2998,8.005700679,3,11000,1,-0.166666667,0.666666667,4,-2,2,4,1,-1,-1,chose undesirable,undesirable fac.,"(2.1e+03,3.34e+03]",FALSE,248
200,2,X3,0,1,1,0,ph,6,3,0.5,638,3134,8.050065423,0,1011,1,0,0.5,3,0,0,3,1,-1,-1,chose undesirable,undesirable fac.,"(2.1e+03,3.34e+03]",FALSE,384
202,4,X3,0,1,1,0,ph,9,4,0.444444444,634,4437,8.397733751,0,110000011,1,-0.055555556,0.555555556,5,-1,1,5,1,-1,-1,chose undesirable,undesirable fac.,"(3.34e+03,4.98e+03]",FALSE,37
204,6,X3,1,1,1,1,tv,7,6,0.857142857,788,3376,8.124446856,0,1110111,1,0.357142857,0.857142857,1,5,5,6,1,1,1,chose desirable,desirable fac.,"(3.34e+03,4.98e+03]",FALSE,76
205,7,X3,0,0,0,0,tv,9,3,0.333333333,1335,4777,8.471568013,0,100100100,1,-0.166666667,0.666666667,6,-3,3,6,1,-1,-1,chose undesirable,undesirable fac.,"(3.34e+03,4.98e+03]",FALSE,377
206,8,X3,1,0,0,1,ph,5,3,0.6,1669,2536,7.838343316,0,1110,1,0.1,0.6,2,1,1,3,1,1,1,chose desirable,desirable fac.,"(2.1e+03,3.34e+03]",FALSE,336
207,9,X3,1,1,1,1,tv,17,9,0.529411765,949,8879,9.091444217,4,1.11E+16,1,0.029411765,0.529411765,8,1,1,9,1,1,1,chose desirable,desirable fac.,"(8.01e+03,8.89e+04]",FALSE,79
208,10,X3,1,0,0,1,ph,11,8,0.727272727,864,5703,8.648747631,0,11001011111,1,0.227272727,0.727272727,3,5,5,8,1,1,1,chose desirable,desirable fac.,"(4.98e+03,8.01e+03]",FALSE,203
209,11,X3,0,0,0,0,tv,7,3,0.428571429,445,3554,8.175829009,0,1010001,1,-0.071428571,0.571428571,4,-1,1,4,1,-1,-1,chose undesirable,undesirable fac.,"(3.34e+03,4.98e+03]",FALSE,254
210,12,X3,0,0,1,1,ph,4,1,0.25,318,1896,7.547501683,0,100,0,-0.25,0.75,3,-2,2,3,0,1,-1,chose undesirable,desirable fac.,"[7,2.1e+03]",FALSE,246
211,13,X3,1,1,1,1,tv,14,8,0.571428571,1250,7583,8.933664179,0,1.01E+13,1,0.071428571,0.571428571,6,2,2,8,1,1,1,chose desirable,desirable fac.,"(4.98e+03,8.01e+03]",FALSE,433
213,15,X3,1,0,0,1,ph,6,6,1,1089,2902,7.973155433,3,111111,1,0.5,1,0,6,6,6,1,1,1,chose desirable,desirable fac.,"(2.1e+03,3.34e+03]",FALSE,152
216,18,X3,1,0,0,1,ph,8,7,0.875,1430,4048,8.305978211,4,11011111,1,0.375,0.875,1,6,6,7,1,1,1,chose desirable,desirable fac.,"(3.34e+03,4.98e+03]",FALSE,198
217,19,X3,0,0,0,0,tv,17,6,0.352941176,1054,9055,9.11107237,8,1.11E+16,1,-0.147058824,0.647058824,11,-5,5,11,1,-1,-1,chose undesirable,undesirable fac.,"(8.01e+03,8.89e+04]",FALSE,255
218,20,X3,0,1,1,0,ph,4,1,0.25,670,2104,7.651595574,0,1,1,-0.25,0.75,3,-2,2,3,1,-1,-1,chose undesirable,undesirable fac.,"(2.1e+03,3.34e+03]",FALSE,454
219,21,X3,0,1,0,1,tv,9,4,0.444444444,865,4526,8.417593826,0,1010101,0,-0.055555556,0.555555556,5,-1,1,5,0,1,-1,chose undesirable,desirable fac.,"(3.34e+03,4.98e+03]",FALSE,126
220,22,X3,1,1,1,1,tv,5,2,0.4,511,2614,7.868636894,0,10001,1,-0.1,0.4,3,-1,-1,2,1,1,1,chose desirable,desirable fac.,"(2.1e+03,3.34e+03]",FALSE,414
221,23,X3,1,1,1,1,tv,6,4,0.666666667,791,3224,8.078378104,0,101110,1,0.166666667,0.666666667,2,2,2,4,1,1,1,chose desirable,desirable fac.,"(2.1e+03,3.34e+03]",FALSE,474
222,24,X3,0,0,0,0,tv,7,1,0.142857143,1393,3312,8.105307516,0,100,1,-0.357142857,0.857142857,6,-5,5,6,1,-1,-1,chose undesirable,undesirable fac.,"(2.1e+03,3.34e+03]",FALSE,12
224,26,X3,0,0,0,0,tv,16,4,0.25,2220,8361,9.031333316,1,1.01E+13,1,-0.25,0.75,12,-8,8,12,1,-1,-1,chose undesirable,undesirable fac.,"(8.01e+03,8.89e+04]",FALSE,111
225,27,X3,1,1,1,1,tv,6,5,0.833333333,874,2950,7.989560449,0,11111,1,0.333333333,0.833333333,1,4,4,5,1,1,1,chose desirable,desirable fac.,"(2.1e+03,3.34e+03]",FALSE,200
226,28,X3,0,0,0,0,tv,16,5,0.3125,1651,8440,9.040737588,0,1.00E+14,1,-0.1875,0.6875,11,-6,6,11,1,-1,-1,chose undesirable,undesirable fac.,"(8.01e+03,8.89e+04]",FALSE,190
227,29,X3,0,0,1,1,ph,4,1,0.25,562,1951,7.576097341,0,1,0,-0.25,0.75,3,-2,2,3,0,1,-1,chose undesirable,desirable fac.,"[7,2.1e+03]",FALSE,301
228,30,X3,1,0,0,1,ph,5,5,1,2091,2250,7.718685495,0,11111,1,0.5,1,0,5,5,5,1,1,1,chose desirable,desirable fac.,"(2.1e+03,3.34e+03]",FALSE,50
229,31,X3,0,0,0,0,tv,11,4,0.363636364,175,5711,8.650149419,0,1010011000,1,-0.136363636,0.636363636,7,-3,3,7,1,-1,-1,chose undesirable,undesirable fac.,"(4.98e+03,8.01e+03]",FALSE,211
230,32,X3,1,0,1,0,tv,13,5,0.384615385,2103,6864,8.834045641,0,1.00E+11,0,-0.115384615,0.384615385,8,-3,-3,5,0,-1,1,chose desirable,undesirable fac.,"(4.98e+03,8.01e+03]",FALSE,264
231,33,X3,0,0,0,0,tv,36,16,0.444444444,1239,19489,9.877605483,0,1.01E+35,1,-0.055555556,0.555555556,20,-4,4,20,1,-1,-1,chose undesirable,undesirable fac.,"(8.01e+03,8.89e+04]",FALSE,239
