,ID,trial,chooseDes,whichWorld,chooseTV,desWorld,whatIsDes,seqLength,desCount,desProp,RT.lev,RT.raw,RT.log,aniFlagCount,outcomeDesSeq,correct,desPropC,evidForChoice,undesCount,desDiff,diffForChoice,itemsForChoiceCount,chooseDes.m,desWorldC,chooseDesC,chooseDesF,desWorldF,RTq5,timingFlag,timingRelative
235,45,X3,0,1,1,0,ph,6,1,0.166666667,1296,3151,8.055475142,0,100,1,-0.333333333,0.833333333,5,-4,4,5,1,-1,-1,chose undesirable,undesirable fac.,"(2.08e+03,3.23e+03]",FALSE,401
236,46,X3,0,1,0,1,tv,20,9,0.45,627,10839,9.29090602,0,1.11E+15,0,-0.05,0.55,11,-2,2,11,0,1,-1,chose undesirable,desirable fac.,"(7.41e+03,2.03e+05]",FALSE,389
237,47,X3,0,1,1,0,ph,13,3,0.230769231,1412,6791,8.823353485,0,11010000000,1,-0.269230769,0.769230769,10,-7,7,10,1,-1,-1,chose undesirable,undesirable fac.,"(4.69e+03,7.41e+03]",FALSE,191
238,48,X3,1,0,0,1,ph,16,11,0.6875,839,8281,9.021719013,0,1.01E+15,1,0.1875,0.6875,5,6,6,11,1,1,1,chose desirable,desirable fac.,"(7.41e+03,2.03e+05]",FALSE,31
239,49,X3,0,1,0,1,tv,6,3,0.5,458,3058,8.025516386,0,100101,0,0,0.5,3,0,0,3,0,1,-1,chose undesirable,desirable fac.,"(2.08e+03,3.23e+03]",FALSE,308
240,50,X3,1,0,0,1,ph,18,9,0.5,1095,9786,9.188708072,0,1.01E+16,1,0,0.5,9,0,0,9,1,1,1,chose desirable,desirable fac.,"(7.41e+03,2.03e+05]",FALSE,436
241,51,X3,1,1,1,1,tv,10,7,0.7,710,5327,8.580543507,0,1101101110,1,0.2,0.7,3,4,4,7,1,1,1,chose desirable,desirable fac.,"(4.69e+03,7.41e+03]",FALSE,377
242,52,X3,0,0,1,1,ph,13,5,0.384615385,978,6671,8.805525053,0,1.00E+12,0,-0.115384615,0.615384615,8,-3,3,8,0,1,-1,chose undesirable,desirable fac.,"(4.69e+03,7.41e+03]",FALSE,71
243,53,X3,1,0,0,1,ph,7,5,0.714285714,366,3445,8.144679183,0,1010111,1,0.214285714,0.714285714,2,3,3,5,1,1,1,chose desirable,desirable fac.,"(3.23e+03,4.69e+03]",FALSE,145
245,55,X3,1,1,1,1,tv,14,9,0.642857143,406,7273,8.89192414,0,1.11E+13,1,0.142857143,0.642857143,5,4,4,9,1,1,1,chose desirable,desirable fac.,"(4.69e+03,7.41e+03]",FALSE,123
246,56,X3,0,0,0,0,tv,8,3,0.375,1895,4024,8.300031712,0,10100001,1,-0.125,0.625,5,-2,2,5,1,-1,-1,chose undesirable,undesirable fac.,"(3.23e+03,4.69e+03]",FALSE,174
248,58,X3,0,0,0,0,tv,16,5,0.3125,1174,8464,9.043577154,0,1.00E+15,1,-0.1875,0.6875,11,-6,6,11,1,-1,-1,chose undesirable,undesirable fac.,"(7.41e+03,2.03e+05]",FALSE,214
249,59,X3,0,1,1,0,ph,5,2,0.4,1537,2415,7.789454566,0,10001,1,-0.1,0.6,3,-1,1,3,1,-1,-1,chose undesirable,undesirable fac.,"(2.08e+03,3.23e+03]",FALSE,215
250,60,X3,1,1,1,1,tv,5,5,1,1156,2518,7.831220215,0,11111,1,0.5,1,0,5,5,5,1,1,1,chose desirable,desirable fac.,"(2.08e+03,3.23e+03]",FALSE,318
251,61,X3,1,1,0,0,ph,8,6,0.75,543,4374,8.383433201,0,1111011,0,0.25,0.75,2,4,4,6,0,-1,1,chose desirable,undesirable fac.,"(3.23e+03,4.69e+03]",FALSE,524
252,62,X3,0,0,0,0,tv,2,1,0.5,468,608,6.410174882,0,10,1,0,0.5,1,0,0,1,1,-1,-1,chose undesirable,undesirable fac.,"[1,2.08e+03]",FALSE,58
253,63,X3,0,1,1,0,ph,9,3,0.333333333,119,4490,8.409607981,0,110000001,1,-0.166666667,0.666666667,6,-3,3,6,1,-1,-1,chose undesirable,undesirable fac.,"(3.23e+03,4.69e+03]",FALSE,90
254,64,X3,0,0,0,0,tv,6,1,0.166666667,681,3024,8.014335737,0,100000,1,-0.333333333,0.833333333,5,-4,4,5,1,-1,-1,chose undesirable,undesirable fac.,"(2.08e+03,3.23e+03]",FALSE,274
255,65,X3,1,1,1,1,tv,15,10,0.666666667,829,7776,8.958797346,1,1.11E+12,1,0.166666667,0.666666667,5,5,5,10,1,1,1,chose desirable,desirable fac.,"(7.41e+03,2.03e+05]",FALSE,76
256,66,X3,1,1,1,1,tv,18,11,0.611111111,1607,9688,9.178643285,0,1.11E+15,1,0.111111111,0.611111111,7,4,4,11,1,1,1,chose desirable,desirable fac.,"(7.41e+03,2.03e+05]",FALSE,338
258,68,X3,1,0,0,1,ph,8,6,0.75,37,4320,8.371010681,0,1110111,1,0.25,0.75,2,4,4,6,1,1,1,chose desirable,desirable fac.,"(3.23e+03,4.69e+03]",FALSE,470
259,69,X3,0,0,1,1,ph,3,1,0.333333333,512,1541,7.340186835,0,1,0,-0.166666667,0.666666667,2,-1,1,2,0,1,-1,chose undesirable,desirable fac.,"[1,2.08e+03]",FALSE,441
260,70,X3,0,1,1,0,ph,15,5,0.333333333,642,8211,9.013229998,0,10011011,1,-0.166666667,0.666666667,10,-5,5,10,1,-1,-1,chose undesirable,undesirable fac.,"(7.41e+03,2.03e+05]",FALSE,511
261,71,X3,0,1,1,0,ph,6,2,0.333333333,416,2847,7.954021087,0,100001,1,-0.166666667,0.666666667,4,-2,2,4,1,-1,-1,chose undesirable,undesirable fac.,"(2.08e+03,3.23e+03]",FALSE,97
262,72,X3,0,0,0,0,tv,20,6,0.3,3425,10755,9.283126042,0,1.10E+18,1,-0.2,0.7,14,-8,8,14,1,-1,-1,chose undesirable,undesirable fac.,"(7.41e+03,2.03e+05]",FALSE,305
263,73,X3,1,1,0,0,ph,11,7,0.636363636,1695,5721,8.651898894,0,11011000111,0,0.136363636,0.636363636,4,3,3,7,0,-1,1,chose desirable,undesirable fac.,"(4.69e+03,7.41e+03]",FALSE,221
264,74,X3,0,1,1,0,ph,9,3,0.333333333,1544,4890,8.494947582,0,101100000,1,-0.166666667,0.666666667,6,-3,3,6,1,-1,-1,chose undesirable,undesirable fac.,"(4.69e+03,7.41e+03]",FALSE,490
265,75,X3,0,0,0,0,tv,10,1,0.1,1013,5456,8.6044712,0,1000000,1,-0.4,0.9,9,-8,8,9,1,-1,-1,chose undesirable,undesirable fac.,"(4.69e+03,7.41e+03]",FALSE,506
268,78,X3,1,0,1,0,tv,5,4,0.8,553,2345,7.760040681,0,10111,0,0.3,0.8,1,3,3,4,0,-1,1,chose desirable,undesirable fac.,"(2.08e+03,3.23e+03]",FALSE,145
269,79,X3,1,0,1,0,tv,12,6,0.5,784,6541,8.785845338,0,11100001110,0,0,0.5,6,0,0,6,0,-1,1,chose desirable,undesirable fac.,"(4.69e+03,7.41e+03]",FALSE,491
270,80,X3,0,0,1,1,ph,13,7,0.538461538,273,7033,8.858368636,0,10011100111,0,0.038461538,0.461538462,6,1,-1,6,0,1,-1,chose undesirable,desirable fac.,"(4.69e+03,7.41e+03]",FALSE,433
271,81,X3,1,0,0,1,ph,10,7,0.7,375,4997,8.516593011,0,1110011101,1,0.2,0.7,3,4,4,7,1,1,1,chose desirable,desirable fac.,"(4.69e+03,7.41e+03]",FALSE,47
272,82,X3,1,1,1,1,tv,6,5,0.833333333,159,2965,7.994632311,0,110111,1,0.333333333,0.833333333,1,4,4,5,1,1,1,chose desirable,desirable fac.,"(2.08e+03,3.23e+03]",FALSE,215
273,83,X3,1,0,0,1,ph,5,5,1,1240,2481,7.816416984,0,11111,1,0.5,1,0,5,5,5,1,1,1,chose desirable,desirable fac.,"(2.08e+03,3.23e+03]",FALSE,281
274,84,X3,0,0,1,1,ph,5,1,0.2,383,2474,7.813591553,0,1,0,-0.3,0.8,4,-3,3,4,0,1,-1,chose undesirable,desirable fac.,"(2.08e+03,3.23e+03]",FALSE,274
275,85,X3,0,0,0,0,tv,4,1,0.25,438,2080,7.640123173,0,100,1,-0.25,0.75,3,-2,2,3,1,-1,-1,chose undesirable,undesirable fac.,"(2.08e+03,3.23e+03]",FALSE,430
