,ID,trial,chooseDes,whichWorld,chooseTV,desWorld,whatIsDes,seqLength,desCount,desProp,RT.lev,RT.raw,RT.log,aniFlagCount,outcomeDesSeq,correct,desPropC,evidForChoice,undesCount,desDiff,diffForChoice,itemsForChoiceCount,chooseDes.m,desWorldC,chooseDesC,chooseDesF,desWorldF,RTq5,timingFlag,timingRelative
203,3,X3,0,1,1,0,ph,7,2,0.285714286,1517,3770,8.23483028,0,11000,1,-0.214285714,0.714285714,5,-3,3,5,1,-1,-1,chose undesirable,undesirable fac.,"(2.26e+03,3.81e+03]",FALSE,470
204,4,X3,1,0,0,1,ph,12,8,0.666666667,614,6272,8.743850562,0,1.10E+11,1,0.166666667,0.666666667,4,4,4,8,1,1,1,chose desirable,desirable fac.,"(5.83e+03,9.1e+03]",FALSE,222
206,6,X3,0,1,1,0,ph,4,0,0,1127,2168,7.681560363,0,0,1,-0.5,1,4,-4,4,4,1,-1,-1,chose undesirable,undesirable fac.,"[0,2.26e+03]",FALSE,518
207,7,X3,0,0,0,0,tv,4,1,0.25,128,1712,7.445417557,0,100,1,-0.25,0.75,3,-2,2,3,1,-1,-1,chose undesirable,undesirable fac.,"[0,2.26e+03]",FALSE,62
208,8,X3,0,0,0,0,tv,10,3,0.3,447,5241,8.564267599,0,110100000,1,-0.2,0.7,7,-4,4,7,1,-1,-1,chose undesirable,undesirable fac.,"(3.81e+03,5.83e+03]",FALSE,291
209,9,X3,1,1,0,0,ph,9,6,0.666666667,1055,4558,8.42463921,0,101101110,0,0.166666667,0.666666667,3,3,3,6,0,-1,1,chose desirable,undesirable fac.,"(3.81e+03,5.83e+03]",FALSE,158
211,11,X3,1,0,0,1,ph,7,7,1,1013,3436,8.142063283,0,1111111,1,0.5,1,0,7,7,7,1,1,1,chose desirable,desirable fac.,"(2.26e+03,3.81e+03]",FALSE,136
212,12,X3,0,0,0,0,tv,24,9,0.375,1153,13169,9.485620862,0,1.10E+21,1,-0.125,0.625,15,-6,6,15,1,-1,-1,chose undesirable,undesirable fac.,"(9.1e+03,1.77e+05]",FALSE,519
213,13,X3,0,0,0,0,tv,13,2,0.153846154,730,6985,8.851520272,1,10100000,1,-0.346153846,0.846153846,11,-9,9,11,1,-1,-1,chose undesirable,undesirable fac.,"(5.83e+03,9.1e+03]",FALSE,385
214,14,X3,1,0,0,1,ph,12,7,0.583333333,2498,6220,8.735525186,0,1.10E+11,1,0.083333333,0.583333333,5,2,2,7,1,1,1,chose desirable,desirable fac.,"(5.83e+03,9.1e+03]",FALSE,170
215,15,X3,0,1,0,1,tv,9,1,0.111111111,4492,4673,8.449556543,0,1,0,-0.388888889,0.888888889,8,-7,7,8,0,1,-1,chose undesirable,desirable fac.,"(3.81e+03,5.83e+03]",FALSE,273
216,16,X3,1,1,1,1,tv,14,9,0.642857143,1032,7336,8.900549014,0,1.01E+12,1,0.142857143,0.642857143,5,4,4,9,1,1,1,chose desirable,desirable fac.,"(5.83e+03,9.1e+03]",FALSE,186
217,17,X3,0,1,1,0,ph,12,4,0.333333333,410,6242,8.739055923,0,11011000,1,-0.166666667,0.666666667,8,-4,4,8,1,-1,-1,chose undesirable,undesirable fac.,"(5.83e+03,9.1e+03]",FALSE,192
218,18,X3,0,1,0,1,tv,25,13,0.52,2118,13523,9.512147218,0,1.11E+24,0,0.02,0.48,12,1,-1,12,0,1,-1,chose undesirable,desirable fac.,"(9.1e+03,1.77e+05]",FALSE,323
219,19,X3,0,1,1,0,ph,14,5,0.357142857,655,7664,8.94428932,0,1.00E+13,1,-0.142857143,0.642857143,9,-4,4,9,1,-1,-1,chose undesirable,undesirable fac.,"(5.83e+03,9.1e+03]",FALSE,514
220,20,X3,0,0,1,1,ph,10,4,0.4,921,5324,8.57998018,0,1001010001,0,-0.1,0.6,6,-2,2,6,0,1,-1,chose undesirable,desirable fac.,"(3.81e+03,5.83e+03]",FALSE,374
221,21,X3,1,1,1,1,tv,10,6,0.6,722,5132,8.543250726,2,111101001,1,0.1,0.6,4,2,2,6,1,1,1,chose desirable,desirable fac.,"(3.81e+03,5.83e+03]",FALSE,182
222,22,X3,1,0,0,1,ph,7,5,0.714285714,2253,3736,8.225770799,0,1011011,1,0.214285714,0.714285714,2,3,3,5,1,1,1,chose desirable,desirable fac.,"(2.26e+03,3.81e+03]",FALSE,436
223,23,X3,1,0,0,1,ph,13,8,0.615384615,892,6773,8.820699399,0,1.01E+12,1,0.115384615,0.615384615,5,3,3,8,1,1,1,chose desirable,desirable fac.,"(5.83e+03,9.1e+03]",FALSE,173
225,25,X3,1,1,1,1,tv,8,5,0.625,339,4288,8.363575703,0,111110,1,0.125,0.625,3,2,2,5,1,1,1,chose desirable,desirable fac.,"(3.81e+03,5.83e+03]",FALSE,438
226,26,X3,0,0,0,0,tv,10,3,0.3,1564,5003,8.517793011,1,11001000,1,-0.2,0.7,7,-4,4,7,1,-1,-1,chose undesirable,undesirable fac.,"(3.81e+03,5.83e+03]",FALSE,53
227,27,X3,1,0,0,1,ph,25,14,0.56,802,13493,9.509926311,0,1.11E+24,1,0.06,0.56,11,3,3,14,1,1,1,chose desirable,desirable fac.,"(9.1e+03,1.77e+05]",FALSE,293
228,28,X3,1,1,1,1,tv,7,5,0.714285714,951,3655,8.203851372,0,1011110,1,0.214285714,0.714285714,2,3,3,5,1,1,1,chose desirable,desirable fac.,"(2.26e+03,3.81e+03]",FALSE,355
229,29,X3,0,0,0,0,tv,36,15,0.416666667,641,19359,9.870912707,0,1.10E+35,1,-0.083333333,0.583333333,21,-6,6,21,1,-1,-1,chose undesirable,undesirable fac.,"(9.1e+03,1.77e+05]",FALSE,109
231,31,X3,0,1,1,0,ph,28,10,0.357142857,768,14881,9.60784051,0,1.10E+24,1,-0.142857143,0.642857143,18,-8,8,18,1,-1,-1,chose undesirable,undesirable fac.,"(9.1e+03,1.77e+05]",FALSE,31
232,32,X3,1,0,0,1,ph,10,7,0.7,901,5057,8.528528701,0,11111101,1,0.2,0.7,3,4,4,7,1,1,1,chose desirable,desirable fac.,"(3.81e+03,5.83e+03]",FALSE,107
233,33,X3,1,0,0,1,ph,20,12,0.6,722,10949,9.301003407,0,1.11E+19,1,0.1,0.6,8,4,4,12,1,1,1,chose desirable,desirable fac.,"(9.1e+03,1.77e+05]",FALSE,499
234,34,X3,0,0,0,0,tv,16,6,0.375,897,8429,9.03943342,0,1.00E+14,1,-0.125,0.625,10,-4,4,10,1,-1,-1,chose undesirable,undesirable fac.,"(5.83e+03,9.1e+03]",FALSE,179
237,37,X3,0,0,0,0,tv,16,7,0.4375,724,8304,9.024492605,0,1.00E+14,1,-0.0625,0.5625,9,-2,2,9,1,-1,-1,chose undesirable,undesirable fac.,"(5.83e+03,9.1e+03]",FALSE,54
238,38,X3,0,0,0,0,tv,24,11,0.458333333,1741,12975,9.470779708,0,1.10E+23,1,-0.041666667,0.541666667,13,-2,2,13,1,-1,-1,chose undesirable,undesirable fac.,"(9.1e+03,1.77e+05]",FALSE,325
239,39,X3,0,1,0,1,tv,17,7,0.411764706,997,9316,9.139488631,0,1.01E+13,0,-0.088235294,0.588235294,10,-3,3,10,0,1,-1,chose undesirable,desirable fac.,"(9.1e+03,1.77e+05]",FALSE,516
240,40,X3,1,0,0,1,ph,14,7,0.5,2264,7545,8.928640371,0,1.11E+12,1,0,0.5,7,0,0,7,1,1,1,chose desirable,desirable fac.,"(5.83e+03,9.1e+03]",FALSE,395
241,41,X3,0,1,1,0,ph,14,5,0.357142857,960,7176,8.878497404,1,1.10E+13,1,-0.142857143,0.642857143,9,-4,4,9,1,-1,-1,chose undesirable,undesirable fac.,"(5.83e+03,9.1e+03]",FALSE,26
242,42,X3,0,1,1,0,ph,38,17,0.447368421,1399,20625,9.934259211,0,1.00E+37,1,-0.052631579,0.552631579,21,-4,4,21,1,-1,-1,chose undesirable,undesirable fac.,"(9.1e+03,1.77e+05]",FALSE,275
243,43,X3,1,0,0,1,ph,6,4,0.666666667,862,2864,7.959974528,0,101011,1,0.166666667,0.666666667,2,2,2,4,1,1,1,chose desirable,desirable fac.,"(2.26e+03,3.81e+03]",FALSE,114
244,44,X3,0,0,0,0,tv,4,1,0.25,2887,1954,7.577633833,0,1,1,-0.25,0.75,3,-2,2,3,1,-1,-1,chose undesirable,undesirable fac.,"[0,2.26e+03]",FALSE,304
245,45,X3,1,1,1,1,tv,29,21,0.724137931,2601,15791,9.667195436,0,1.11E+27,1,0.224137931,0.724137931,8,13,13,21,1,1,1,chose desirable,desirable fac.,"(9.1e+03,1.77e+05]",FALSE,391
246,46,X3,0,0,0,0,tv,21,7,0.333333333,350,11354,9.337325384,0,1.01E+20,1,-0.166666667,0.666666667,14,-7,7,14,1,-1,-1,chose undesirable,undesirable fac.,"(9.1e+03,1.77e+05]",FALSE,354
247,47,X3,1,0,0,1,ph,12,8,0.666666667,2289,6240,8.738735461,0,1.01E+11,1,0.166666667,0.666666667,4,4,4,8,1,1,1,chose desirable,desirable fac.,"(5.83e+03,9.1e+03]",FALSE,190
248,48,X3,0,0,0,0,tv,11,3,0.272727273,833,5616,8.633374946,6,11000010,1,-0.227272727,0.727272727,8,-5,5,8,1,-1,-1,chose undesirable,undesirable fac.,"(3.81e+03,5.83e+03]",FALSE,116
249,49,X3,0,0,1,1,ph,21,10,0.476190476,878,11392,9.340666634,0,1.01E+19,0,-0.023809524,0.523809524,11,-1,1,11,0,1,-1,chose undesirable,desirable fac.,"(9.1e+03,1.77e+05]",FALSE,392
250,50,X3,1,0,0,1,ph,15,10,0.666666667,179,7854,8.968778235,0,1.01E+14,1,0.166666667,0.666666667,5,5,5,10,1,1,1,chose desirable,desirable fac.,"(5.83e+03,9.1e+03]",FALSE,154
